date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:45	35765/35765	---M-Z	200	added ('OK')	text/html	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/index-02.html	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/index-02.html	(from )
23:02:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Feb%202025%2011:02:45%20GMT	https://pxdraft.com/robots.txt		(from )
23:02:48	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/favicon.ico	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/favicon.ico	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:02:50	6702/6702	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/img/logo-light.svg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/img/logo-light.svg	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:02:52	72486/72486	---M--	200	added ('OK')	text/css	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/css/style.css	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/css/style.css	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:02:53	124056/124056	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/img/home-banner-01.jpg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/img/home-banner-01.jpg	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:02:54	85198/85198	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/img/home-banner-03.jpg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/img/home-banner-03.jpg	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:02:56	51045/51045	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/img/work-1.jpg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/img/work-1.jpg	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:02:57	40366/40366	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/img/work-3.jpg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/img/work-3.jpg	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:02:58	44163/44163	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/img/work-2.jpg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/img/work-2.jpg	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:02:58	29391/29391	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/img/work-4.jpg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/img/work-4.jpg	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:02:59	103331/103331	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/img/team-1.jpg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/img/team-1.jpg	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:03:01	101426/101426	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/img/work-5.jpg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/img/work-5.jpg	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:03:01	49895/49895	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/img/blog-3.jpg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/img/blog-3.jpg	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:03:01	57334/57334	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/img/blog-2.jpg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/img/blog-2.jpg	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:03:02	4228/4228	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/appear/jquery.appear.js	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/appear/jquery.appear.js	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:03:02	1418/1418	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/one-page/scrollIt.min.js	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/one-page/scrollIt.min.js	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:03:03	61893/61893	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/bootstrap/js/bootstrap.min.js	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:03:03	111078/111078	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/img/blog-1.jpg	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/img/blog-1.jpg	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:03:03	10046/10046	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/js/custom.js	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/js/custom.js	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:03:03	89476/89476	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/js/jquery-3.5.1.min.js	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/js/jquery-3.5.1.min.js	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:03:03	2081/2081	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/js/mail_send.js	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/js/mail_send.js	(from https://pxdraft.com/themeforest/weasley/weasley/index-02.html)
23:03:04	2936/2936	---M--	200	added ('OK')	text/css	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/owl-carousel/css/owl.carousel.min.css	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/owl-carousel/css/owl.carousel.min.css	(from https://pxdraft.com/themeforest/weasley/weasley/assets/css/style.css)
23:03:04	63666/63666	---M--	200	added ('OK')	text/css	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/bootstrap/icons/bootstrap-icons.css	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/bootstrap/icons/bootstrap-icons.css	(from https://pxdraft.com/themeforest/weasley/weasley/assets/css/style.css)
23:03:04	6951/6951	---M--	200	added ('OK')	text/css	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/magnific/magnific-popup.css	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/magnific/magnific-popup.css	(from https://pxdraft.com/themeforest/weasley/weasley/assets/css/style.css)
23:03:05	318/318	---M--	403	error ('Forbidden')	text/html	date:Tue,%2011%20Feb%202025%2011:03:05%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/index.html	(from https://pxdraft.com/themeforest/weasley/weasley/assets/js/custom.js)
23:03:05	55967/55967	---M--	200	added ('OK')	text/css	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css	(from https://pxdraft.com/themeforest/weasley/weasley/assets/css/style.css)
23:03:10	154875/154875	---M--	200	added ('OK')	text/css	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://pxdraft.com/themeforest/weasley/weasley/assets/css/style.css)
23:03:13	85044/85044	---M--	200	added ('OK')	application/font-woff2	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/bootstrap/icons/fonts/bootstrap-icons.woff2?8bd4575acf83c7696dc7a14a966660a3	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/bootstrap/icons/fonts/bootstrap-iconse36a.woff2	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/bootstrap/icons/bootstrap-icons.css)
23:03:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Feb%202025%2011:03:14%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/owl-carousel/css/owl.video.play.png	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/owl-carousel/css/owl.video.play.1c.delayed	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/owl-carousel/css/owl.carousel.min.css)
23:03:19	113656/113656	---M--	200	added ('OK')	application/font-woff	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/bootstrap/icons/fonts/bootstrap-icons.woff?8bd4575acf83c7696dc7a14a966660a3	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/bootstrap/icons/fonts/bootstrap-iconse36a.woff	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/bootstrap/icons/bootstrap-icons.css)
23:03:26	94949/94949	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Feb%202025%2011:03:19%20GMT	https://www.pxdraft.com/themeforest/weasley/weasley/assets/vendor/owl-carousel/css/owl.video.play.png	C:/My%20Web%20Sites/pro/www.pxdraft.com/themeforest/weasley/weasley/assets/vendor/owl-carousel/css/owl.video.play.1d.delayed	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/owl-carousel/css/owl.carousel.min.css)
23:03:29	129352/129352	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2004%20Jul%202022%2023:59:46%20GMT	https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/pro/pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/webfonts/fa-brands-400.eot	(from https://pxdraft.com/themeforest/weasley/weasley/assets/vendor/font-awesome/css/all.min.css)
